Bando,Agente
Atacante,maverick
Atacante,thermite
Atacante,finka
Atacante,iana
Atacante,glaz
Atacante,lion
Atacante,thatcher
Atacante,flores
Atacante,zero
Atacante,ace
Atacante,kali
Atacante,amaru
Atacante,nokk
Atacante,gridlock
Atacante,nomad
Atacante,dokkaebi
Atacante,zofia
Atacante,ying
Atacante,jackal
Atacante,hibana
Atacante,capitao
Atacante,blackbeard
Atacante,buck
Atacante,sledge
Atacante,ash
Atacante,montagne
Atacante,twitch
Atacante,blitz
Atacante,iq
Atacante,fuze
Defensor,aruni
Defensor,melusi
Defensor,oryx
Defensor,wamai
Defensor,goyo
Defensor,warden
Defensor,mozzie
Defensor,kaid
Defensor,clash
Defensor,maestro
Defensor,alibi
Defensor,vigil
Defensor,ela
Defensor,lesion
Defensor,mira
Defensor,echo
Defensor,caveira
Defensor,valkyrie
Defensor,frost
Defensor,mute
Defensor,smoke
Defensor,castle
Defensor,pulse
Defensor,doc
Defensor,rook
Defensor,jager
Defensor,bandit
Defensor,tachanka
Defensor,kapkan
