Mapa,Agentes,Bando,Rol,Tactica,Descripcion
Banco,Maverick,Atacante,Breacher,2 personas,(Planta3) Entrada por la parte de atras del punto abriendo una pared como en el link
Banco,Maverick,Atacante,Breacher,Solitario,(X Planta) Abrir agujero en paredes para poder hacer un pick menos arriesgado y pillar al enemigo por sorpresa
Banco,Maverick,Atacante,Breacher,Solitario,(X Planta) Abrir trampillas haciendo una X
Banco,Hibana,Atacante,Breacher,Solitario,(X Planta) Usar 4 X-Kairos para abrir una trampilla
Banco,Kali,Atacante,Support,Solitario,(Planta3) Spawn en el aparcamiento y cubrir desde lejos la entrada del equipo y cortar las rotaciones
Banco,Kali,Atacante,Support,Solitario,(Planta3) Hacer rappel en la pared frente al aparcamiento y desde las ventanas cortar rotaciones al enemigo
Banco,Mira,Defensor,Ancla,Solitario,(Sotano) Colocar el espejo negro en la segunda pared del fondo del punto de B para controlar la entrada por la puerta de atras y la trampilla
Banco,Smoke,Defensor,Ancla,Solitario,(Sotano) Abrir una rotacion en el punto de B en la ultima pared del fondo de modo que pasen sin tener que saltar [ver link para mas detalles
Consulado,Montagne,Atacante,Support,Solitario,(X Planta - PlantaS) Una vez abierto el punto entrada con humos se planta y se defiende desde fuera
Consulado,Montagne,Atacante,Support,Solitario,(X Planta - PlantaS) Una vez abierto el punto entrada con humos se planta y se defiende desde fuera
Consulado,Montagne,Atacante,Support,Solitario,(X Planta - PlantaS) Una vez abierto el punto entrada con humos se planta y se defiende desde fuera
Banco,Finka,Atacante,Support,Solitario,holaprueba
Banco,Finka,Atacante,Support,Solitario,Esto es una prueba
Banco,Ash,Atacante,Entry Fragger,Solitario,Entra corriendo por la puerta principal
